"AC" "TC" "DESCR" "OS" "GN" "PE" "SV"
"1" "A0AAS1" "1.C.52.1.24" "Amurin-1 protein" "Rana amurensis" "amurin-1" "2" "1"
"2" "A0AV02" "2.A.30.3.4" "Solute carrier family 12 member 8" "Homo sapiens" "SLC12A8" "2" "3"
"3" "A0B354" "2.A.117.1.12" "Transmembrane pair domain protein" "Burkholderia cenocepacia (strain HI2424)" "Bcen2424_5347" "4" "1"
"4" "A0BTG7" "1.B.69.1.7" "Chromosome undetermined scaffold_127, whole genome shotgun sequence" "Paramecium tetraurelia" "GSPATT00032066001" "4" "1"
"5" "A0CAP8" "1.A.17.1.12" "Chromosome undetermined scaffold_162, whole genome shotgun sequence" "Paramecium tetraurelia" "GSPATT00036646001" "4" "1"
"6" "A0CIB0" "1.A.17.1.13" "Chromosome undetermined scaffold_19, whole genome shotgun sequence" "Paramecium tetraurelia" "GSPATT00007662001" "4" "1"
"7" "A0CS82" "9.B.82.1.5" "Chromosome undetermined scaffold_26, whole genome shotgun sequence - Paramecium tetraurelia." "" "" "" ""
"8" "A0CVJ5" "2.A.105.1.5" "Chromosome undetermined scaffold_29, whole genome shotgun sequence" "Paramecium tetraurelia" "GSPATT00010980001" "4" "1"
"9" "A0CX44" "1.A.3.2.4" "Chromosome undetermined scaffold_3, whole genome shotgun sequence" "Paramecium tetraurelia" "GSPATT00001565001" "4" "1"
"10" "A0CYX2" "9.B.1.2.3" "Chromosome undetermined scaffold_31, whole genome shotgun sequence" "Paramecium tetraurelia" "GSPATT00011590001" "4" "1"
"11" "A0D5K0" "2.A.66.3.4" "Chromosome undetermined scaffold_39, whole genome shotgun sequence - Paramecium tetraurelia." "" "" "" ""
"12" "A0D801" "1.A.17.3.9" "Chromosome undetermined scaffold_40, whole genome shotgun sequence" "Paramecium tetraurelia" "GSPATT00014135001" "4" "1"
"13" "A0DG78" "9.A.6.1.2" "Chromosome undetermined scaffold_5, whole genome shotgun sequence" "Paramecium tetraurelia" "GSPATT00002174001" "4" "1"
"14" "A0DML3" "1.C.105.2.5" "Chromosome undetermined scaffold_56, whole genome shotgun sequence" "Paramecium tetraurelia" "GSPATT00018498001" "4" "1"
"15" "A0E7U6" "1.A.77.1.8" "Chromosome undetermined scaffold_81, whole genome shotgun sequence" "Paramecium tetraurelia" "GSPATT00024091001" "4" "1"
"16" "A0E9B5" "9.B.38.2.1" "Chromosome undetermined scaffold_84, whole genome shotgun sequence - Paramecium tetraurelia." "" "" "" ""
"17" "A0ECD9" "3.A.1.207.1" "Chromosome undetermined scaffold_89, whole genome shotgun sequence - Paramecium tetraurelia." "" "" "" ""
"18" "A0EEH7" "1.C.105.2.3" "Chromosome undetermined scaffold_91, whole genome shotgun sequence" "Paramecium tetraurelia" "GSPATT00026040001" "4" "1"
"19" "A0EF36" "1.A.75.1.5" "Chromosome undetermined scaffold_92, whole genome shotgun sequence" "Paramecium tetraurelia" "GSPATT00026250001" "4" "1"
"20" "A0FKN5" "2.A.53.2.9" "Prestin - Gallus gallus (Chicken)." "" "" "" ""
"21" "A0JCJ5" "1.B.1.1.7" "Cytotoxic outer-membrane protein" "Plesiomonas shigelloides" "comp" "4" "1"
"22" "A0JSP2" "9.B.74.1.2" "ABC-2 type transporter - Arthrobacter sp. FB24." "" "" "" ""
"23" "A0L190" "2.A.1.2.74" "Multidrug resistance protein MdtL" "Shewanella sp. (strain ANA-3)" "mdtL" "3" "1"
"24" "A0L3E7" "2.A.51.1.4" "Chromate transporter, chromate ion transporter (CHR) family" "Shewanella sp. (strain ANA-3)" "Shewana3_4365" "4" "1"
"25" "A0L4K8" "3.A.1.132.3" "ABC transporter, inner membrane protein - Magnetococcus sp. (strain MC-1)." "" "" "" ""
"26" "A0L4L0" "3.A.1.132.3" "Putative uncharacterized protein - Magnetococcus sp. (strain MC-1)." "" "" "" ""
"27" "A0L5S6" "1.A.1.14.6" "Ion transport protein" "Magnetococcus sp. (strain MC-1)" "Mmc1_0798" "4" "1"
"28" "A0L7M8" "9.B.8.2.2" "Uncharacterized protein" "Magnetococcus sp. (strain MC-1)" "Mmc1_1462" "4" "1"
"29" "A0L9W3" "2.A.102.4.10" "Uncharacterized protein" "Magnetococcus sp. (strain MC-1)" "Mmc1_2255" "4" "1"
"30" "A0LFK9" "9.B.102.4.1" "Rhodanese domain protein" "Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB)" "Sfum_0511" "4" "1"
"31" "A0LKC3" "1.B.73.1.3" "Uncharacterized protein" "Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB)" "Sfum_2193" "4" "1"
"32" "A0LKF9" "9.B.142.4.8" "Uncharacterized protein" "Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB)" "Sfum_2229" "4" "1"
"33" "A0LKG2" "1.B.17.4.1" "Outer membrane efflux protein" "Syntrophobacter fumaroxidans (strain DSM 10017 / MPOB)" "Sfum_2232" "4" "1"
"34" "A0LQU2" "3.A.3.25.4" "Heavy metal translocating P-type ATPase" "Acidothermus cellulolyticus (strain ATCC 43068 / 11B)" "Acel_0026" "3" "1"
"35" "A0LTS0" "9.B.148.1.10" "Uncharacterized protein" "Acidothermus cellulolyticus (strain ATCC 43068 / 11B)" "Acel_1057" "4" "1"
"36" "A0M015" "1.A.62.2.1" "Membrane protein, UPF0126" "Gramella forsetii (strain KT0803)" "GFO_0986" "4" "1"
"37" "A0M0P7" "2.A.123.4.1" "Membrane protein containing the N-terminal domain of lipid-A-disaccharide synthase" "Gramella forsetii (strain KT0803)" "GFO_1218" "4" "1"
"38" "A0MFS9" "1.A.17.1.11" "Anoctamin-like protein At1g73020" "Arabidopsis thaliana" "At1g73020" "2" "1"
"39" "A0NP85" "1.A.1.24.5" "Cyclic nucleotide-binding domain (CNMP-BD) protein" "Labrenzia aggregata IAM 12614" "SIAM614_18024" "4" "1"
"40" "A0PJK1" "2.A.21.3.15" "Sodium/glucose cotransporter 5" "Homo sapiens" "SLC5A10" "1" "2"
"41" "A0PK11" "9.A.46.1.2" "Clarin-2" "Homo sapiens" "CLRN2" "2" "1"
"42" "A0Q2F5" "2.A.25.1.8" "Sodium:alanine symporter family protein, putative" "Clostridium novyi (strain NT)" "NT01CX_0309" "4" "1"
"43" "A0QPN7" "8.A.35.1.1" "MmpS4 protein" "Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)" "MSMEG_0462" "4" "1"
"44" "A0QQ68" "3.A.1.9.2" "Putative transporter - Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)." "" "" "" ""
"45" "A0QQ70" "3.A.1.9.2" "Phosphonate ABC transporter, ATP-binding protein - Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)." "" "" "" ""
"46" "A0QQ71" "3.A.1.9.2" "Phosphonate-binding periplasmic protein - Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)." "" "" "" ""
"47" "A0QQH3" "2.A.4.1.5" "Cobalt-zinc-cadmium resistance protein - Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)." "" "" "" ""
"48" "A0QYL8" "2.A.1.49.10" "Major facilitator superfamily protein MFS_1" "Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)" "MSMEG_3705" "4" "1"
"49" "A0QZX3" "2.A.1.1.65" "Arabinose-proton symporter - Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)." "" "" "" ""
"50" "A0R5A2" "2.A.102.2.7" "Uncharacterized protein" "Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155)" "MSMEG_6119" "4" "1"
"51" "A0RKJ6" "1.C.90.2.2" "Putative uncharacterized protein" "Bacillus thuringiensis (strain Al Hakam)" "BALH_4544" "4" "1"
"52" "A0RZH5" "1.B.1.1.8" "Outer membrane protein 39" "Erwinia amylovora" "omp39" "4" "1"
